Table 29.  Indiana - Race and Hispanic Origin:  1800 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
1820  ..............................................................................,"147,178","145,758","1,420",(NA),(NA),"1,420","1,230",190
1810  .............................................................................,"24,520","23,890",630,(NA),(NA),630,393,237
1800  ..............................................................................,"2,632","2,517",115,(NA),(NA),115,87,28
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,90.6,7.8,0.2,0.7,0.7,1.8,89.6
.   Sample ................................................................................,100.0,90.6,7.8,0.3,0.7,0.7,1.7,89.6
1980 ...............................................................................,100.0,91.2,7.6,0.1,0.4,0.8,1.6,90.2
.   Sample ................................................................................,100.0,91.2,7.5,0.2,0.4,0.6,1.6,90.3
1970 ...............................................................................,100.0,92.8,6.9,0.1,0.1,0.1,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,92.9,6.9,0.1,(NA),(NA),1.3,91.7
.   5% sample ...............................................................................,100.0,92.9,6.9,(NA),(NA),(NA),2.2,90.8
1960 ................................................................................,100.0,94.1,5.8,-,0.1,-,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,95.5,4.4,-,-,-,(NA),(NA)
1940 ...............................................................................,100.0,96.4,3.6,-,-,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),0.2,96.3
1930 ................................................................................,100.0,96.5,3.5,-,-,(X),(NA),(NA)
1920 ................................................................................,100.0,97.2,2.8,-,-,(X),(NA),(NA)
1910 ...............................................................................,100.0,97.7,2.2,-,-,(X),(NA),(NA)
1900 ..............................................................................,100.0,97.7,2.3,-,-,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,97.9,2.1,-,-,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,97.9,2.1,-,-,(X),(NA),(NA)
1880  ...............................................................................,100.0,98.0,2.0,-,-,Black,,
1870  ...............................................................................,100.0,98.5,1.5,-,-,Total,Free,Slave
1860  ..............................................................................,100.0,99.1,0.8,-,-,100.0,100.0,-
1850  ...............................................................................,100.0,98.9,1.1,(NA),(NA),100.0,100.0,-
1840  ..............................................................................,100.0,99.0,1.0,(NA),(NA),100.0,100.0,-
1830  ...............................................................................,100.0,98.9,1.1,(NA),(NA),100.0,99.9,0.1
1820  ..............................................................................,100.0,99.0,1.0,(NA),(NA),100.0,86.6,13.4
1810  .............................................................................,100.0,97.4,2.6,(NA),(NA),100.0,62.4,37.6
1800  ..............................................................................,100.0,95.6,4.4,(NA),(NA),100.0,75.7,24.3
Footnotes:,,,,,,,,
 - Rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language. 2/Hispanic origin based on the White population of,,,,,,,,
    Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the 100-percent,,,,,,,,
    count of the total population.  These estimates are in italics.  See Table E-6 and text.  3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U.S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
