Table 37.  Michigan - Race and Hispanic Origin:  1800 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
1830  ...............................................................................,"28,004","27,775",229,(NA),(NA),229,228,1
1820  ..............................................................................,"7,452","7,295",157,(NA),(NA),157,157,-
1810  .............................................................................,"4,762","4,618",144,(NA),(NA),144,120,24
1800  ..............................................................................,"3,757","3,618",139,(NA),(NA),139,139,-
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,83.4,13.9,0.6,1.1,0.9,2.2,82.3
.   Sample ................................................................................,100.0,83.5,13.9,0.6,1.1,0.9,2.0,82.4
1980 ...............................................................................,100.0,85.0,12.9,0.4,0.6,1.0,1.8,84.1
.   Sample ................................................................................,100.0,85.2,12.9,0.5,0.7,0.7,1.7,84.3
1970 ...............................................................................,100.0,88.3,11.2,0.2,0.2,0.2,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,88.4,11.2,0.2,(NA),(NA),1.4,87.1
.   5% sample ...............................................................................,100.0,88.4,11.2,(NA),(NA),(NA),1.7,86.9
1960 ................................................................................,100.0,90.6,9.2,0.1,0.1,-,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,92.9,6.9,0.1,0.1,-,(NA),(NA)
1940 ...............................................................................,100.0,95.9,4.0,0.1,-,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),0.2,95.7
1930 ................................................................................,100.0,96.3,3.5,0.1,-,(X),(NA),(NA)
1920 ................................................................................,100.0,98.2,1.6,0.2,-,(X),(NA),(NA)
1910 ...............................................................................,100.0,99.1,0.6,0.3,-,(X),(NA),(NA)
1900 ..............................................................................,100.0,99.1,0.7,0.3,-,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,99.0,0.7,0.3,-,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,99.0,0.7,0.3,-,(X),(NA),(NA)
1880  ...............................................................................,100.0,98.6,0.9,0.4,-,Black,,
1870  ...............................................................................,100.0,98.6,1.0,0.4,-,Total,Free,Slave
1860  ..............................................................................,100.0,98.3,0.9,0.8,-,100.0,100.0,-
1850  ...............................................................................,100.0,99.4,0.6,(NA),(NA),100.0,100.0,-
1840  ..............................................................................,100.0,99.7,0.3,(NA),(NA),100.0,100.0,-
1830  ...............................................................................,100.0,99.2,0.8,(NA),(NA),100.0,99.6,0.4
1820  ..............................................................................,100.0,97.9,2.1,(NA),(NA),100.0,100.0,-
1810  .............................................................................,100.0,97.0,3.0,(NA),(NA),100.0,83.3,16.7
1800  ..............................................................................,100.0,96.3,3.7,(NA),(NA),100.0,100.0,-
Footnotes:,,,,,,,,
 - Represents zero or rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language.  2/Hispanic origin based on the White,,,,,,,,
    population of Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the,,,,,,,,
    100-percent count of the total population. These estimates are in italics. See Table E-6 and text.  3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
