Table 35.  Maryland - Race and Hispanic Origin:  1790 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
1820  ..............................................................................,"407,350","260,223","147,127",(NA),(NA),"147,127","39,730","107,397"
1810  .............................................................................,"380,546","235,117","145,429",(NA),(NA),"145,429","33,927","111,502"
1800  ..............................................................................,"341,548","216,326","125,222",(NA),(NA),"125,222","19,587","105,635"
1790  .............................................................................,"319,728","208,649","111,079",(NA),(NA),"111,079","8,043","103,036"
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,71.0,24.9,0.3,2.9,0.9,2.6,69.6
.   Sample ................................................................................,100.0,71.0,24.9,0.3,2.9,0.9,2.5,69.6
1980 ...............................................................................,100.0,74.9,22.7,0.2,1.5,0.7,1.5,73.9
.   Sample ................................................................................,100.0,75.1,22.7,0.2,1.6,0.4,1.5,74.1
1970 ...............................................................................,100.0,81.5,17.8,0.1,0.5,0.1,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,81.6,17.8,0.1,(NA),(NA),1.4,80.4
.   5% sample ...............................................................................,100.0,81.6,17.8,(NA),(NA),(NA),1.2,80.6
1960 ................................................................................,100.0,83.0,16.7,-,0.2,-,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,83.4,16.5,-,0.1,-,(NA),(NA)
1940 ...............................................................................,100.0,(NA),16.6,-,-,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),83.5,(NA),(NA),(NA),(X),-,83.3
1930 ................................................................................,100.0,83.0,16.9,-,0.1,(X),(NA),(NA)
1920 ................................................................................,100.0,83.1,16.9,-,-,(X),(NA),(NA)
1910 ...............................................................................,100.0,82.0,17.9,-,-,(X),(NA),(NA)
1900 ..............................................................................,100.0,80.2,19.8,-,-,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,79.3,20.7,-,-,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,79.3,20.7,-,-,(X),(NA),(NA)
1880  ...............................................................................,100.0,77.5,22.5,-,-,Black,,
1870  ...............................................................................,100.0,77.5,22.5,-,-,Total,Free,Slave
1860  ..............................................................................,100.0,75.1,24.9,-,-,100.0,49.1,50.9
1850  ...............................................................................,100.0,71.7,28.3,(NA),(NA),100.0,45.3,54.7
1840  ..............................................................................,100.0,67.7,32.3,(NA),(NA),100.0,40.9,59.1
1830  ...............................................................................,100.0,65.1,34.9,(NA),(NA),100.0,33.9,66.1
1820  ..............................................................................,100.0,63.9,36.1,(NA),(NA),100.0,27.0,73.0
1810  .............................................................................,100.0,61.8,38.2,(NA),(NA),100.0,23.3,76.7
1800  ..............................................................................,100.0,63.3,36.7,(NA),(NA),100.0,15.6,84.4
1790  .............................................................................,100.0,65.3,34.7,(NA),(NA),100.0,7.2,92.8
Footnotes:,,,,,,,,
 - Represents zero or rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language.  2/Hispanic origin based on the White,,,,,,,,
    population of Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the,,,,,,,,
    100-percent count of the total population.  These estimates are in italics.  See Table E-6 and text. 3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
