Table 36.  Massachusetts - Race and Hispanic Origin:  1790 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
1830  ...............................................................................,"610,408","603,359","7,049",(NA),(NA),"7,049","7,048",1
1820  ..............................................................................,"523,287","516,547","6,740",(NA),(NA),"6,740","6,740",-
1810  .............................................................................,"472,040","465,303","6,737",(NA),(NA),"6,737","6,737",-
1800  ..............................................................................,"422,845","416,393","6,452",(NA),(NA),"6,452","6,452",-
1790  .............................................................................,"378,787","373,324","5,463",(NA),(NA),"5,463","5,463",-
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,89.8,5.0,0.2,2.4,2.6,4.8,87.8
.   Sample ................................................................................,100.0,89.9,4.9,0.2,2.3,2.6,4.6,88.0
1980 ...............................................................................,100.0,93.5,3.9,0.1,0.9,1.7,2.5,92.3
.   Sample ................................................................................,100.0,93.7,3.9,0.2,0.9,1.3,2.5,92.5
1970 ...............................................................................,100.0,96.3,3.1,0.1,0.4,0.2,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,96.4,3.0,0.1,(NA),(NA),1.1,95.4
.   5% sample ...............................................................................,100.0,96.4,3.1,(NA),(NA),(NA),1.2,95.3
1960 ................................................................................,100.0,97.6,2.2,-,0.2,-,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,98.3,1.6,-,0.1,-,(NA),(NA)
1940 ...............................................................................,100.0,98.6,1.3,-,0.1,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),0.1,98.6
1930 ................................................................................,100.0,98.7,1.2,-,0.1,(X),(NA),(NA)
1920 ................................................................................,100.0,98.7,1.2,-,0.1,(X),(NA),(NA)
1910 ...............................................................................,100.0,98.8,1.1,-,0.1,(X),(NA),(NA)
1900 ..............................................................................,100.0,98.7,1.1,-,0.1,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,98.9,1.0,-,-,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,98.9,1.0,-,-,(X),(NA),(NA)
1880  ...............................................................................,100.0,98.9,1.0,-,-,Black,,
1870  ...............................................................................,100.0,99.0,1.0,-,-,Total,Free,Slave
1860  ..............................................................................,100.0,99.2,0.8,-,-,100.0,100.0,-
1850  ...............................................................................,100.0,99.1,0.9,(NA),(NA),100.0,100.0,-
1840  ..............................................................................,100.0,98.8,1.2,(NA),(NA),100.0,100.0,-
1830  ...............................................................................,100.0,98.8,1.2,(NA),(NA),100.0,100.0,-
1820  ..............................................................................,100.0,98.7,1.3,(NA),(NA),100.0,100.0,-
1810  .............................................................................,100.0,98.6,1.4,(NA),(NA),100.0,100.0,-
1800  ..............................................................................,100.0,98.5,1.5,(NA),(NA),100.0,100.0,-
1790  .............................................................................,100.0,98.6,1.4,(NA),(NA),100.0,100.0,-
Footnotes:,,,,,,,,
 - Represents zero or rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language.  2/Hispanic origin based on the White,,,,,,,,
    population of Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the,,,,,,,,
    100-percent count of the total population. These estimates are in italics. See Table E-6 and text.  3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
