Table 28.  Illinois - Race and Hispanic Origin:  1800 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
1830  ...............................................................................,"157,445","155,061","2,384",(NA),(NA),"2,384","1,637",747
1820  ..............................................................................,"55,211","53,837","1,374",(NA),(NA),"1,374",457,917
1810  .............................................................................,"12,282","11,501",781,(NA),(NA),781,613,168
1800  ..............................................................................,"2,458","2,275",183,(NA),(NA),183,76,107
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,78.3,14.8,0.2,2.5,4.2,7.9,74.8
.   Sample ................................................................................,100.0,78.4,14.8,0.2,2.5,4.1,7.7,75.0
1980 ...............................................................................,100.0,80.8,14.7,0.1,1.4,3.0,5.6,78.0
.   Sample ................................................................................,100.0,81.1,14.7,0.2,1.5,2.6,5.6,78.2
1970 ...............................................................................,100.0,86.4,12.8,0.1,0.4,0.2,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,86.6,12.8,0.1,(NA),(NA),3.3,83.5
.   5% sample ...............................................................................,100.0,86.5,12.8,(NA),(NA),(NA),3.5,83.3
1960 ................................................................................,100.0,89.4,10.3,-,0.2,-,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,92.4,7.4,-,0.2,-,(NA),(NA)
1940 ...............................................................................,100.0,95.0,4.9,-,0.1,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),0.3,94.7
1930 ................................................................................,100.0,95.6,4.3,-,0.1,(X),(NA),(NA)
1920 ................................................................................,100.0,97.1,2.8,-,0.1,(X),(NA),(NA)
1910 ...............................................................................,100.0,98.0,1.9,-,-,(X),(NA),(NA)
1900 ..............................................................................,100.0,98.2,1.8,-,-,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,98.5,1.5,-,-,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,98.5,1.5,-,-,(X),(NA),(NA)
1880  ...............................................................................,100.0,98.5,1.5,-,-,Black,,
1870  ...............................................................................,100.0,98.9,1.1,-,-,Total,Free,Slave
1860  ..............................................................................,100.0,99.6,0.4,-,-,100.0,100.0,-
1850  ...............................................................................,100.0,99.4,0.6,(NA),(NA),100.0,100.0,-
1840  ..............................................................................,100.0,99.2,0.8,(NA),(NA),100.0,91.6,8.4
1830  ...............................................................................,100.0,98.5,1.5,(NA),(NA),100.0,68.7,31.3
1820  ..............................................................................,100.0,97.5,2.5,(NA),(NA),100.0,33.3,66.7
1810  .............................................................................,100.0,93.6,6.4,(NA),(NA),100.0,78.5,21.5
1800  ..............................................................................,100.0,92.6,7.4,(NA),(NA),100.0,41.5,58.5
Footnotes:,,,,,,,,
 - Represents zero or rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language.  2/Hispanic origin based on the White,,,,,,,,
    population of Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the,,,,,,,,
    100-percent count of the total population.  These estimates are in italics.  See Table E-6 and text. 3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
