Table 48.  North Carolina - Race and Hispanic Origin:  1790 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
1830  ...............................................................................,"737,987","472,843","265,144",(NA),(NA),"265,144","19,543","245,601"
1820  ..............................................................................,"638,829","419,200","219,629",(NA),(NA),"219,629","14,712","204,917"
1810  .............................................................................,"556,526","377,374","179,152",(NA),(NA),"179,152","10,268","168,884"
1800  ..............................................................................,"478,103","337,764","140,339",(NA),(NA),"140,339","7,043","133,296"
1790  .............................................................................,"393,751","288,204","105,547",(NA),(NA),"105,547","4,975","100,572"
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,75.6,22.0,1.2,0.8,0.5,1.2,75.0
.   Sample ................................................................................,100.0,75.6,22.0,1.2,0.8,0.4,1.0,75.1
1980 ...............................................................................,100.0,75.8,22.4,1.1,0.4,0.3,1.0,75.3
.   Sample ................................................................................,100.0,75.8,22.4,1.1,0.4,0.2,1.0,75.3
1970 ...............................................................................,100.0,76.8,22.2,0.9,0.1,0.1,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,76.9,22.1,0.9,(NA),(NA),0.4,76.5
.   5% sample ...............................................................................,100.0,76.8,22.2,(NA),(NA),(NA),0.9,76.1
1960 ................................................................................,100.0,74.6,24.5,0.8,-,-,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,73.4,25.8,0.1,-,0.7,(NA),(NA)
1940 ...............................................................................,100.0,71.9,27.5,0.6,-,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),-,71.9
1930 ................................................................................,100.0,70.5,29.0,0.5,-,(X),(NA),(NA)
1920 ................................................................................,100.0,69.7,29.8,0.5,-,(X),(NA),(NA)
1910 ...............................................................................,100.0,68.0,31.6,0.4,-,(X),(NA),(NA)
1900 ..............................................................................,100.0,66.7,33.0,0.3,-,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,65.2,34.7,0.1,-,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,65.2,34.7,0.1,-,(X),(NA),(NA)
1880  ...............................................................................,100.0,62.0,38.0,0.1,-,Black,,
1870  ...............................................................................,100.0,63.3,36.6,0.1,-,Total,Free,Slave
1860  ..............................................................................,100.0,63.5,36.4,0.1,-,100.0,8.4,91.6
1850  ...............................................................................,100.0,63.6,36.4,(NA),(NA),100.0,8.7,91.3
1840  ..............................................................................,100.0,64.4,35.6,(NA),(NA),100.0,8.5,91.5
1830  ...............................................................................,100.0,64.1,35.9,(NA),(NA),100.0,7.4,92.6
1820  ..............................................................................,100.0,65.6,34.4,(NA),(NA),100.0,6.7,93.3
1810  .............................................................................,100.0,67.8,32.2,(NA),(NA),100.0,5.7,94.3
1800  ..............................................................................,100.0,70.6,29.4,(NA),(NA),100.0,5.0,95.0
1790  .............................................................................,100.0,73.2,26.8,(NA),(NA),100.0,4.7,95.3
Footnotes:,,,,,,,,
 - Represents zero or rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language.  2/Hispanic origin based on the White,,,,,,,,
    population of Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the,,,,,,,,
    100-percent count of the total population. These estimates are in italics. See Table E-6 and text.  3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
