Table 39.  Mississippi - Race and Hispanic Origin:  1800 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
1830  ...............................................................................,"136,621","70,443","66,178",(NA),(NA),"66,178",519,"65,659"
1820  ..............................................................................,"75,448","42,176","33,272",(NA),(NA),"33,272",458,"32,814"
1810  .............................................................................,"31,306","16,602","14,704",(NA),(NA),"14,704",181,"14,523"
1800  ..............................................................................,"7,600","4,446","3,154",(NA),(NA),"3,154",159,"2,995"
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,63.5,35.6,0.3,0.5,0.1,0.6,63.1
.   Sample ................................................................................,100.0,63.5,35.6,0.3,0.5,0.1,0.6,63.1
1980 ...............................................................................,100.0,64.1,35.2,0.2,0.3,0.2,1.0,63.6
.   Sample ................................................................................,100.0,64.1,35.2,0.3,0.3,0.1,1.0,63.6
1970 ...............................................................................,100.0,62.8,36.8,0.2,0.1,-,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,62.9,36.8,0.2,(NA),(NA),0.4,62.6
.   5% sample ...............................................................................,100.0,62.9,36.8,(NA),(NA),(NA),0.7,62.6
1960 ................................................................................,100.0,57.7,42.0,0.1,0.1,-,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,54.6,45.3,0.1,0.1,-,(NA),(NA)
1940 ...............................................................................,100.0,50.7,49.2,0.1,-,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),-,50.6
1930 ................................................................................,100.0,49.7,50.2,0.1,-,(X),(NA),(NA)
1920 ................................................................................,100.0,47.7,52.2,0.1,-,(X),(NA),(NA)
1910 ...............................................................................,100.0,43.7,56.2,0.1,-,(X),(NA),(NA)
1900 ..............................................................................,100.0,41.3,58.5,0.1,-,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,42.2,57.6,0.2,-,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,42.2,57.6,0.2,-,(X),(NA),(NA)
1880  ...............................................................................,100.0,42.4,57.5,0.2,-,Black,,
1870  ...............................................................................,100.0,46.2,53.7,0.1,-,Total,Free,Slave
1860  ..............................................................................,100.0,44.7,55.3,-,-,100.0,0.2,99.8
1850  ...............................................................................,100.0,48.8,51.2,(NA),(NA),100.0,0.3,99.7
1840  ..............................................................................,100.0,47.7,52.3,(NA),(NA),100.0,0.7,99.3
1830  ...............................................................................,100.0,51.6,48.4,(NA),(NA),100.0,0.8,99.2
1820  ..............................................................................,100.0,55.9,44.1,(NA),(NA),100.0,1.4,98.6
1810  .............................................................................,100.0,53.0,47.0,(NA),(NA),100.0,1.2,98.8
1800  ..............................................................................,100.0,58.5,41.5,(NA),(NA),100.0,5.0,95.0
Footnotes:,,,,,,,,
 - Represents zero or rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language.  2/Hispanic origin based on the White,,,,,,,,
    population of Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the,,,,,,,,
    100-percent count of the total population. These estimates are in italics. See Table E-6 and text.  3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
