Table 32.  Kentucky - Race and Hispanic Origin:  1790 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
1830  ...............................................................................,"687,917","517,787","170,130",(NA),(NA),"170,130","4,917","165,213"
1820  ..............................................................................,"564,317","434,826","129,491",(NA),(NA),"129,491","2,759","126,732"
1810  .............................................................................,"406,511","324,237","82,274",(NA),(NA),"82,274","1,713","80,561"
1800  ..............................................................................,"220,955","179,873","41,082",(NA),(NA),"41,082",739,"40,343"
1790  .............................................................................,"73,677","61,133","12,544",(NA),(NA),"12,544",114,"12,430"
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,92.0,7.1,0.2,0.5,0.2,0.6,91.7
.   Sample ................................................................................,100.0,92.1,7.1,0.2,0.5,0.2,0.6,91.7
1980 ...............................................................................,100.0,92.3,7.1,0.1,0.3,0.2,0.7,91.7
.   Sample ................................................................................,100.0,92.3,7.1,0.1,0.3,0.1,0.7,91.8
1970 ...............................................................................,100.0,92.6,7.2,-,0.1,0.1,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,92.7,7.2,-,(NA),(NA),0.3,92.4
.   5% sample ...............................................................................,100.0,92.7,7.2,(NA),(NA),(NA),1.4,91.4
1960 ................................................................................,100.0,92.8,7.1,-,-,-,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,93.1,6.9,-,-,-,(NA),(NA)
1940 ...............................................................................,100.0,92.5,7.5,-,-,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),-,92.5
1930 ................................................................................,100.0,91.4,8.6,-,-,(X),(NA),(NA)
1920 ................................................................................,100.0,90.2,9.8,-,-,(X),(NA),(NA)
1910 ...............................................................................,100.0,88.6,11.4,-,-,(X),(NA),(NA)
1900 ..............................................................................,100.0,86.7,13.3,-,-,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,85.6,14.4,-,-,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,85.6,14.4,-,-,(X),(NA),(NA)
1880  ...............................................................................,100.0,83.5,16.5,-,-,Black,,
1870  ...............................................................................,100.0,83.2,16.8,-,-,Total,Free,Slave
1860  ..............................................................................,100.0,79.6,20.4,-,-,100.0,4.5,95.5
1850  ...............................................................................,100.0,77.5,22.5,(NA),(NA),100.0,4.5,95.5
1840  ..............................................................................,100.0,75.7,24.3,(NA),(NA),100.0,3.9,96.1
1830  ...............................................................................,100.0,75.3,24.7,(NA),(NA),100.0,2.9,97.1
1820  ..............................................................................,100.0,77.1,22.9,(NA),(NA),100.0,2.1,97.9
1810  .............................................................................,100.0,79.8,20.2,(NA),(NA),100.0,2.1,97.9
1800  ..............................................................................,100.0,81.4,18.6,(NA),(NA),100.0,1.8,98.2
1790  .............................................................................,100.0,83.0,17.0,(NA),(NA),100.0,0.9,99.1
Footnotes:,,,,,,,,
 - Represents zero or rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language.  2/Hispanic origin based on the White,,,,,,,,
    population of Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the,,,,,,,,
    100-percent count of the total population.  These estimates are in italics.  See Table E-6 and text. 3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
