Table 21.  Connecticut - Race and Hispanic Origin:  1790 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
1820  ..............................................................................,"275,248","267,281","7,967",(NA),(NA),"7,967","7,870",97
1810  .............................................................................,"261,942","255,179","6,763",(NA),(NA),"6,763","6,453",310
1800  ..............................................................................,"251,002","244,721","6,281",(NA),(NA),"6,281","5,330",951
1790  .............................................................................,"237,946","232,374","5,572",(NA),(NA),"5,572","2,808","2,764"
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,87.0,8.3,0.2,1.5,2.9,6.5,83.8
.   Sample ................................................................................,100.0,87.1,8.3,0.2,1.5,2.9,6.2,84.0
1980 ...............................................................................,100.0,90.1,7.0,0.1,0.6,2.2,4.0,88.0
.   Sample ................................................................................,100.0,90.5,7.0,0.2,0.7,1.7,4.0,88.2
1970 ...............................................................................,100.0,93.5,6.0,0.1,0.2,0.2,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,93.6,6.0,0.1,(NA),(NA),2.4,91.4
.   5% sample ...............................................................................,100.0,93.7,6.0,(NA),(NA),(NA),2.2,91.7
1960 ................................................................................,100.0,95.6,4.2,-,0.1,-,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,97.3,2.7,-,0.1,-,(NA),(NA)
1940 ...............................................................................,100.0,98.0,1.9,-,-,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),0.1,97.9
1930 ................................................................................,100.0,98.1,1.8,-,-,(X),(NA),(NA)
1920 ................................................................................,100.0,98.4,1.5,-,0.1,(X),(NA),(NA)
1910 ...............................................................................,100.0,98.6,1.4,-,-,(X),(NA),(NA)
1900 ..............................................................................,100.0,98.2,1.7,-,0.1,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,98.3,1.6,-,-,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,98.3,1.6,-,-,(X),(NA),(NA)
1880  ...............................................................................,100.0,98.1,1.9,-,-,Black,,
1870  ...............................................................................,100.0,98.2,1.8,-,-,Total,Free,Slave
1860  ..............................................................................,100.0,98.1,1.9,-,-,100.0,100.0,-
1850  ...............................................................................,100.0,97.9,2.1,(NA),(NA),100.0,100.0,-
1840  ..............................................................................,100.0,97.4,2.6,(NA),(NA),100.0,99.8,0.2
1830  ...............................................................................,100.0,97.3,2.7,(NA),(NA),100.0,99.7,0.3
1820  ..............................................................................,100.0,97.1,2.9,(NA),(NA),100.0,98.8,1.2
1810  .............................................................................,100.0,97.4,2.6,(NA),(NA),100.0,95.4,4.6
1800  ..............................................................................,100.0,97.5,2.5,(NA),(NA),100.0,84.9,15.1
1790  .............................................................................,100.0,97.7,2.3,(NA),(NA),100.0,50.4,49.6
Footnotes:,,,,,,,,
 - Represents zero or rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language.  2/Hispanic origin based on the White,,,,,,,,
    population of Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the,,,,,,,,
    100-percent count of the total population. These estimates are in italics. See Table E-6 and text. 3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
